date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:51	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Dec%202023%2012:07:51%20GMT	https://live.21lab.co/robots.txt		(from )
17:37:52	196214/196214	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:12:38%20GMT	https://live.21lab.co/nanosoft/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/index.html	(from )
17:37:53	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2027%20Dec%202023%2012:07:53%20GMT	https://live.21lab.co/nanosoft/xmlrpc.php	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/xmlrpc.php	(from https://live.21lab.co/nanosoft/)
17:37:54	1438768/1438768	---M-Z	200	added ('OK')	text/css	etag:%22620a1f51-2a2c5%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/e941e6ac283245e82c14b5e6217ccc82.css	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/cache/min/1/e941e6ac283245e82c14b5e6217ccc82.css	(from https://live.21lab.co/nanosoft/)
17:37:55	181415/181415	---M--	200	added ('OK')	image/jpeg	etag:%2261e689b9-2c4a7%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/08/content-bottom-bg.jpg	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/2018/08/content-bottom-bg.jpg	(from https://live.21lab.co/nanosoft/)
17:37:55	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654c3fcc-15601%22	https://live.21lab.co/nanosoft/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-includes/js/jquery/jquery.minf43b.js	(from https://live.21lab.co/nanosoft/)
17:37:55	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d2e80c-3509%22	https://live.21lab.co/nanosoft/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://live.21lab.co/nanosoft/)
17:37:56	24512/24512	---M-Z	200	added ('OK')	application/javascript	etag:%22620a1f51-18f9%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/wp-video-lightbox/js/jquery.prettyPhoto.js?ver=1644830545	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/wp-video-lightbox/js/jquery.prettyPhoto7b33.js	(from https://live.21lab.co/nanosoft/)
17:37:56	6584/6584	---M-Z	200	added ('OK')	application/javascript	etag:%22620a1f51-52e%22	https://live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/wp-video-lightbox/js/video-lightbox.js?ver=1644830545	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/cache/min/1/nanosoft/wp-content/plugins/wp-video-lightbox/js/video-lightbox7b33.js	(from https://live.21lab.co/nanosoft/)
17:37:56	1733/1733	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%221053b5764f63d61e39c1be9a9259c538%22	https://live.21lab.co/nanosoft/comments/feed/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/comments/feed/index.html	(from https://live.21lab.co/nanosoft/)
17:37:56	44707/44707	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%221053b5764f63d61e39c1be9a9259c538%22	https://live.21lab.co/nanosoft/feed/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/feed/index.html	(from https://live.21lab.co/nanosoft/)
17:37:58	201424/201424	---MCZ	200	added ('OK')	application/json	date:Wed,%2027%20Dec%202023%2012:07:58%20GMT	https://live.21lab.co/nanosoft/wp-json/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-json/index.html	(from https://live.21lab.co/nanosoft/)
17:37:58	81280/81280	---MCZ	200	added ('OK')	application/json	date:Wed,%2027%20Dec%202023%2012:07:58%20GMT	https://live.21lab.co/nanosoft/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-json/wp/v2/pages/2.json	(from https://live.21lab.co/nanosoft/)
17:37:59	846/846	---MCZ	200	added ('OK')	text/xml	date:Wed,%2027%20Dec%202023%2012:07:59%20GMT	https://live.21lab.co/nanosoft/xmlrpc.php?rsd	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/xmlrpc0db0.php	(from https://live.21lab.co/nanosoft/)
17:38:00	2115/2115	---MCZ	200	added ('OK')	application/json	date:Wed,%2027%20Dec%202023%2012:08:00%20GMT	https://live.21lab.co/nanosoft/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flive.21lab.co%2Fnanosoft%2F	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-json/oembed/1.0/embed5d75.json	(from https://live.21lab.co/nanosoft/)
17:38:00	2270/2270	---MCZ	200	added ('OK')	text/xml	date:Wed,%2027%20Dec%202023%2012:08:01%20GMT	https://live.21lab.co/nanosoft/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flive.21lab.co%2Fnanosoft%2F&format=xml	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-json/oembed/1.0/embed4028	(from https://live.21lab.co/nanosoft/)
17:38:01	43288/43288	---M--	200	added ('OK')	application/octet-stream	etag:%2261e68b6d-a918%22	https://live.21lab.co/nanosoft/wp-content/uploads/custom_fonts/Sailec-Bold.otf	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/custom_fonts/Sailec-Bold.otf	(from https://live.21lab.co/nanosoft/)
17:38:01	41692/41692	---M--	200	added ('OK')	application/octet-stream	etag:%2261e68b77-a2dc%22	https://live.21lab.co/nanosoft/wp-content/uploads/custom_fonts/Sailec-Medium.otf	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/custom_fonts/Sailec-Medium.otf	(from https://live.21lab.co/nanosoft/)
17:38:01	42020/42020	---M--	200	added ('OK')	application/octet-stream	etag:%2261e68b7f-a424%22	https://live.21lab.co/nanosoft/wp-content/uploads/custom_fonts/Sailec.otf	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/custom_fonts/Sailec.otf	(from https://live.21lab.co/nanosoft/)
17:38:02	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Dec%202023%2012:08:02%20GMT	https://live.21lab.co/nanosoft/wp-content/plugins/wp-video-lightbox	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/plugins/wp-video-lightbox	(from https://live.21lab.co/nanosoft/)
17:38:02	857/857	---M--	200	added ('OK')	image/png	etag:%2262088486-359%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-32x32.png	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-32x32.png	(from https://live.21lab.co/nanosoft/)
17:38:02	0/0	---M--	200	added ('OK')	text/html	etag:%2261e68996-0%22	https://live.21lab.co/nanosoft/wp-content/plugins/wp-video-lightbox/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/plugins/wp-video-lightbox/index.html	(from https://live.21lab.co/nanosoft/)
17:38:02	8535/8535	---M--	200	added ('OK')	image/png	etag:%2262088486-2157%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-192x192.png	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-192x192.png	(from https://live.21lab.co/nanosoft/)
17:38:03	25823/25823	---M--	200	added ('OK')	image/png	etag:%2262088486-64df%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-180x180.png	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/2018/10/cropped-favico-1-180x180.png	(from https://live.21lab.co/nanosoft/)
17:38:03	36552/36552	---M--	200	added ('OK')	image/jpeg	etag:%2261e689b9-8ec8%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/08/bg-team.jpg?id=831	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/2018/08/bg-teamc92e.jpg	(from https://live.21lab.co/nanosoft/)
17:38:03	5119/5119	---M--	200	added ('OK')	image/png	etag:%2261e689b9-13ff%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/10/logo.png	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/2018/10/logo.png	(from https://live.21lab.co/nanosoft/)
17:38:03	565/565	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261e689b9-235%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/08/conversations-4872_af60b258-251e-41af-b238-dfb706d7b3d4.svg	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/2018/08/conversations-4872_af60b258-251e-41af-b238-dfb706d7b3d4.svg	(from https://live.21lab.co/nanosoft/)
17:38:04	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20Dec%202023%2012:08:05%20GMT	http://live.21lab.co/nanosoft/wp-content/plugins/revslider/public/assets/assets/dummy.png	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/plugins/revslider/public/assets/assets/dummy.15.delayed	(from https://live.21lab.co/nanosoft/)
17:38:05	112930/112930	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:13:13%20GMT	https://live.21lab.co/nanosoft/careers/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/careers/index.html	(from https://live.21lab.co/nanosoft/)
17:38:05	184263/184263	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:13:24%20GMT	https://live.21lab.co/nanosoft/home-2/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/home-2/index.html	(from https://live.21lab.co/nanosoft/)
17:38:06	130991/130991	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:12:50%20GMT	https://live.21lab.co/nanosoft/about/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/about/index.html	(from https://live.21lab.co/nanosoft/)
17:38:06	140166/140166	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:13:45%20GMT	https://live.21lab.co/nanosoft/home-3/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/home-3/index.html	(from https://live.21lab.co/nanosoft/)
17:38:06	112397/112397	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:13:48%20GMT	https://live.21lab.co/nanosoft/mission-vision-and-values/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/mission-vision-and-values/index.html	(from https://live.21lab.co/nanosoft/)
17:38:07	128087/128087	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:11:37%20GMT	https://live.21lab.co/nanosoft/leadership-team/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/leadership-team/index.html	(from https://live.21lab.co/nanosoft/)
17:38:07	124542/124542	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:12:57%20GMT	https://live.21lab.co/nanosoft/why-choose-us/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/why-choose-us/index.html	(from https://live.21lab.co/nanosoft/)
17:38:07	106724/106724	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:12:48%20GMT	https://live.21lab.co/nanosoft/locations/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/locations/index.html	(from https://live.21lab.co/nanosoft/)
17:38:08	107258/107258	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:12:49%20GMT	https://live.21lab.co/nanosoft/faq/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/faq/index.html	(from https://live.21lab.co/nanosoft/)
17:38:08	68/68	---M--	200	added ('OK')	image/png	etag:%2261e68993-44%22	https://live.21lab.co/nanosoft/wp-content/plugins/revslider/public/assets/assets/dummy.png	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/plugins/revslider/public/assets/assets/dummy.png	(from https://live.21lab.co/nanosoft/)
17:38:08	103378/103378	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:13:30%20GMT	https://live.21lab.co/nanosoft/it-services/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/it-services/index.html	(from https://live.21lab.co/nanosoft/)
17:38:09	110366/110366	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:12:16%20GMT	https://live.21lab.co/nanosoft/pricing-and-plans/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/pricing-and-plans/index.html	(from https://live.21lab.co/nanosoft/)
17:38:09	124124/124124	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:13:34%20GMT	https://live.21lab.co/nanosoft/it-services/managed-it/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/it-services/managed-it/index.html	(from https://live.21lab.co/nanosoft/)
17:38:09	87658/87658	---M--	200	added ('OK')	image/jpeg	etag:%2261e689d8-1566a%22	https://live.21lab.co/nanosoft/wp-content/uploads/2018/05/working-day-in-office-PQPMBS4-800x450.jpg	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/wp-content/uploads/2018/05/working-day-in-office-PQPMBS4-800x450.jpg	(from https://live.21lab.co/nanosoft/)
17:38:09	124138/124138	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202023%2002:13:29%20GMT	https://live.21lab.co/nanosoft/it-services/it-support/	C:/My%20Web%20Sites/NEW%20Zeplinix/live.21lab.co/nanosoft/it-services/it-support/index.html	(from https://live.21lab.co/nanosoft/)
